Date,Description,Amount
2025-09-01,Starbucks Coffee,-250
2025-09-02,Uber Ride,-120
2025-09-03,Salary,20000
2025-09-04,Amazon Purchase,-500
2025-09-05,Electricity Bill,-1500
2025-09-06,Dominos Pizza,-400
2025-09-07,Netflix Subscription,-500
2025-09-08,Phone Recharge,-300
2025-09-09,Groceries,-1800
2025-09-10,Bus Ticket,-50
2025-09-11,Water Bill,-700
2025-09-12,Salary Bonus,5000
2025-09-13,Movie Tickets,-600
2025-09-14,Petrol,-2500
2025-09-15,Clothes Shopping,-1200
2025-09-16,Restaurant Dinner,-900
2025-09-17,Internet Bill,-800
2025-09-18,Gym Membership,-1500
2025-09-19,Freelance Payment,8000
2025-09-20,Medical Expenses,-2000
2025-09-21,Book Purchase,-400
2025-09-22,Cab Ride,-300
2025-09-23,Electricity Bill,-1600
2025-09-24,Salary,20000
2025-09-25,Groceries,-1900
2025-09-26,Netflix Subscription,-500
2025-09-27,Dominos Pizza,-450
2025-09-28,Clothes Shopping,-1300
2025-09-29,Petrol,-2600
2025-09-30,Freelance Payment,9000
